"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses","question_order"
"","html-keyboard-response","61","388829","0.0-61.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","",""
"","image-keyboard-response","62","389772","0.0-62.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","941","img/land3.png","75","943","2","1","3","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","",""
"","html-keyboard-response","63","390079","0.0-63.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","",""
"","image-keyboard-response","64","391008","0.0-64.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","927","img/land2.png","76","929","3","1","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","",""
"","html-keyboard-response","65","391315","0.0-65.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","",""
"","image-keyboard-response","66","392094","0.0-66.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","776","img/land2.png","75","778","2","1","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","",""
"","html-keyboard-response","67","392421","0.0-67.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","",""
"","image-keyboard-response","68","393104","0.0-68.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","681","img/land2.png","76","682","3","0","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","",""
"","html-keyboard-response","69","393429","0.0-69.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/land2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","",""
"","image-keyboard-response","70","394203","0.0-70.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","770","img/land3.png","75","773","2","0","3","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","",""
"","html-keyboard-response","71","394519","0.0-71.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","",""
"","image-keyboard-response","72","395118","0.0-72.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","597","img/land3.png","76","598","3","1","3","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","",""
"","html-keyboard-response","73","395449","0.0-73.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","",""
"","image-keyboard-response","74","396324","0.0-74.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","874","img/land1.png","76","874","3","1","1","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","",""
"","html-keyboard-response","75","396651","0.0-75.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","",""
"","image-keyboard-response","76","397458","0.0-76.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","804","img/land2.png","75","805","2","1","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","",""
"","html-keyboard-response","77","397775","0.0-77.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","",""
"","image-keyboard-response","78","398431","0.0-78.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","651","img/land3.png","76","652","3","1","3","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","",""
"","html-keyboard-response","79","398744","0.0-79.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","",""
"","image-keyboard-response","80","399624","0.0-80.0","34BBWHLWHBXFTCZCVCM92RYBPOQIWO","ARFJTVZE5IKLC","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","879","img/land2.png","75","880","2","1","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","",""
