"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"null","","html-keyboard-response","53","73540","0.0-53.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"67","","image-keyboard-response","54","73613","0.0-54.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower4.png","74","71","1","0","1","","","","",""
"null","","html-keyboard-response","55","73937","0.0-55.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"63","","image-keyboard-response","56","74002","0.0-56.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower5.png","75","65","2","1","2","","","","",""
"null","","html-keyboard-response","57","74322","0.0-57.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"137","","image-keyboard-response","58","74470","0.0-58.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower4.png","74","148","1","1","1","","","","",""
"null","","html-keyboard-response","59","74786","0.0-59.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"713","","image-keyboard-response","60","75508","0.0-60.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower6.png","74","722","1","1","3","","","","",""
"null","","html-keyboard-response","61","75818","0.0-61.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"236","","image-keyboard-response","62","76065","0.0-62.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower5.png","75","247","2","0","2","","","","",""
"null","","html-keyboard-response","63","76393","0.0-63.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"20378","","instructions","64","96777","0.0-64.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","[{""page_index"":0,""viewing_time"":3029},{""page_index"":1,""viewing_time"":17344}]","","","","","","","","","","",""
"2695","","image-keyboard-response","65","99536","0.0-65.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower6.png","75","2722","2","0","3","","","","",""
"null","","html-keyboard-response","66","99852","0.0-66.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"1245","","image-keyboard-response","67","101107","0.0-67.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower6.png","76","1255","3","1","3","","","","",""
"null","","html-keyboard-response","68","101428","0.0-68.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1587","","image-keyboard-response","69","103026","0.0-69.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower6.png","75","1597","2","0","3","","","","",""
"null","","html-keyboard-response","70","103377","0.0-70.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"1285","","image-keyboard-response","71","104666","0.0-71.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower6.png","76","1287","3","1","3","","","","",""
"null","","html-keyboard-response","72","104980","0.0-72.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1691","","image-keyboard-response","73","106674","0.0-73.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower5.png","76","1694","3","1","2","","","","",""
"null","","html-keyboard-response","74","107009","0.0-74.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1192","","image-keyboard-response","75","108249","0.0-75.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower6.png","74","1231","1","1","3","","","","",""
"null","","html-keyboard-response","76","108602","0.0-76.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"976","","image-keyboard-response","77","109585","0.0-77.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower5.png","75","982","2","1","2","","","","",""
"null","","html-keyboard-response","78","109907","0.0-78.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1125","","image-keyboard-response","79","111034","0.0-79.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower6.png","76","1127","3","1","3","","","","",""
"null","","html-keyboard-response","80","111339","0.0-80.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"799","","image-keyboard-response","81","112144","0.0-81.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower5.png","74","804","1","0","2","","","","",""
"null","","html-keyboard-response","82","112457","0.0-82.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"1131","","image-keyboard-response","83","113595","0.0-83.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower4.png","75","1134","2","0","1","","","","",""
"null","","html-keyboard-response","84","113912","0.0-84.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"1002","","image-keyboard-response","85","114915","0.0-85.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower4.png","74","1014","1","1","1","","","","",""
"null","","html-keyboard-response","86","115244","0.0-86.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1184","","image-keyboard-response","87","116433","0.0-87.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower5.png","75","1188","2","1","2","","","","",""
"null","","html-keyboard-response","88","116751","0.0-88.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1748","","image-keyboard-response","89","118507","0.0-89.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower4.png","74","1756","1","1","1","","","","",""
"null","","html-keyboard-response","90","118817","0.0-90.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1073","","image-keyboard-response","91","119904","0.0-91.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower6.png","76","1086","3","1","3","","","","",""
"null","","html-keyboard-response","92","120213","0.0-92.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1118","","image-keyboard-response","93","121341","0.0-93.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower5.png","75","1128","2","0","2","","","","",""
"null","","html-keyboard-response","94","121654","0.0-94.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"1162","","image-keyboard-response","95","122819","0.0-95.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower5.png","76","1165","3","0","2","","","","",""
"null","","html-keyboard-response","96","123141","0.0-96.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"909","","image-keyboard-response","97","124062","0.0-97.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower4.png","74","922","1","1","1","","","","",""
"null","","html-keyboard-response","98","124380","0.0-98.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"935","","image-keyboard-response","99","125321","0.0-99.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower4.png","74","938","1","1","1","","","","",""
"null","","html-keyboard-response","100","125630","0.0-100.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1084","","image-keyboard-response","101","126723","0.0-101.0","3FDJT1UU75UCMOAGZEKCP70BX2OK5B","A11JZFATJVBFN0","32XN26MTXZ5MP383W6LZYTLBY7P0LI","","","img/flower5.png","75","1093","2","1","2","","","","",""
