"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"576","","image-keyboard-response","32","115460","0.0-32.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower6.png","76","577","3","1","3","","","","",""
"null","","html-keyboard-response","33","115761","0.0-33.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"473","","image-keyboard-response","34","116234","0.0-34.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower4.png","74","474","1","0","1","","","","",""
"null","","html-keyboard-response","35","116536","0.0-35.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"456","","image-keyboard-response","36","116994","0.0-36.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower4.png","74","457","1","1","1","","","","",""
"null","","html-keyboard-response","37","117300","0.0-37.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"415","","image-keyboard-response","38","117716","0.0-38.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower4.png","74","415","1","1","1","","","","",""
"null","","html-keyboard-response","39","118020","0.0-39.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"517","","image-keyboard-response","40","118539","0.0-40.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower6.png","76","519","3","1","3","","","","",""
"null","","html-keyboard-response","41","118845","0.0-41.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"402","","image-keyboard-response","42","119248","0.0-42.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower4.png","75","402","2","1","1","","","","",""
"null","","html-keyboard-response","43","119554","0.0-43.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
